compiler,program,opt,flag_id,sweep,is_warmup,wall_s,user_s,sys_s,max_rss_kb,exit_code,term_signal,output_ok,epoch_s
clang++,suma,-O2,fortify_off,0,1,0.055221,0.055135,0.0,6892,0,,1,1783529802
clang++,suma,-O2,noexecstack,0,1,0.055145,0.055057,0.0,6924,0,,1,1783529802
clang++,suma,-O2,execstack,0,1,0.056543,0.048935,0.007528,6824,0,,1,1783529802
clang++,suma,-O2,relro_full,0,1,0.0556,0.055516,0.0,6804,0,,1,1783529802
clang++,suma,-O2,no_stack_protector,0,1,0.055444,0.051396,0.003953,6888,0,,1,1783529802
clang++,suma,-O2,stack_protector,0,1,0.055829,0.051757,0.003981,6808,0,,1,1783529803
clang++,suma,-O2,stack_protector_strong,0,1,0.055235,0.051208,0.003939,6940,0,,1,1783529803
clang++,suma,-O2,stack_protector_all,0,1,0.055377,0.051348,0.003949,6892,0,,1,1783529803
clang++,suma,-O2,no_plt,0,1,0.045671,0.045592,0.0,6932,0,,1,1783529803
clang++,suma,-O2,asan,0,1,0.154363,0.138333,0.015934,14320,0,,1,1783529803
clang++,suma,-O2,ubsan,0,1,0.240637,0.23649,0.004008,9268,0,,1,1783529803
clang++,suma,-O2,msan,0,1,0.119427,0.11525,0.003974,14260,0,,1,1783529803
clang++,suma,-O2,safe_stack,0,1,0.055476,0.055381,0.0,6912,0,,1,1783529803
clang++,suma,-O2,lto,0,1,0.055375,0.051342,0.003949,6892,0,,1,1783529803
clang++,suma,-O3,baseline,0,1,0.055184,0.055103,0.0,6932,0,,1,1783529803
clang++,suma,-O3,pie,0,1,0.055525,0.055425,0.0,6780,0,,1,1783529803
clang++,suma,-O3,no_pie,0,1,0.045656,0.041431,0.004143,7012,0,,1,1783529803
clang++,suma,-O3,fortify1,0,1,0.05586,0.055776,0.0,6900,0,,1,1783529804
clang++,suma,-O3,fortify2,0,1,0.045779,0.045688,0.0,6836,0,,1,1783529804
clang++,suma,-O3,fortify_off,0,1,0.055192,0.055105,0.0,6908,0,,1,1783529804
clang++,suma,-O3,noexecstack,0,1,0.055286,0.05521,0.0,6860,0,,1,1783529804
clang++,suma,-O3,execstack,0,1,0.055301,0.055214,0.0,6784,0,,1,1783529804
clang++,suma,-O3,relro_full,0,1,0.056838,0.052699,0.004053,6820,0,,1,1783529804
clang++,suma,-O3,no_stack_protector,0,1,0.055263,0.051226,0.00394,6912,0,,1,1783529804
clang++,suma,-O3,stack_protector,0,1,0.056795,0.049142,0.00756,6992,0,,1,1783529804
clang++,suma,-O3,stack_protector_strong,0,1,0.055317,0.055218,0.0,6788,0,,1,1783529804
clang++,suma,-O3,stack_protector_all,0,1,0.055371,0.055279,0.0,6908,0,,1,1783529804
clang++,suma,-O3,no_plt,0,1,0.045637,0.04555,0.0,6888,0,,1,1783529804
clang++,suma,-O3,asan,0,1,0.154669,0.142528,0.011966,18348,0,,1,1783529804
clang++,suma,-O3,ubsan,0,1,0.358642,0.358508,0.0,7188,0,,1,1783529805
clang++,suma,-O3,msan,0,1,0.118899,0.110494,0.008184,14156,0,,1,1783529805
clang++,suma,-O3,safe_stack,0,1,0.055419,0.055324,0.0,7040,0,,1,1783529805
clang++,suma,-O3,lto,0,1,0.05551,0.055432,0.0,6900,0,,1,1783529805
clang++,suma,-Ofast,baseline,0,1,0.055498,0.055408,0.0,6788,0,,1,1783529805
clang++,suma,-Ofast,pie,0,1,0.055604,0.055515,0.0,6884,0,,1,1783529805
clang++,suma,-Ofast,no_pie,0,1,0.045719,0.045633,0.0,6844,0,,1,1783529805
clang++,suma,-Ofast,fortify1,0,1,0.055387,0.051356,0.00395,7012,0,,1,1783529805
clang++,suma,-Ofast,fortify2,0,1,0.045602,0.045518,0.0,6920,0,,1,1783529805
clang++,suma,-Ofast,fortify_off,0,1,0.055357,0.051325,0.003948,6900,0,,1,1783529805
clang++,suma,-Ofast,noexecstack,0,1,0.055516,0.05543,0.0,6936,0,,1,1783529805
clang++,suma,-Ofast,execstack,0,1,0.055531,0.051488,0.00396,6904,0,,1,1783529805
clang++,suma,-Ofast,relro_full,0,1,0.0569,0.056805,0.0,7076,0,,1,1783529805
clang++,suma,-Ofast,no_stack_protector,0,1,0.055411,0.055325,0.0,6796,0,,1,1783529805
clang++,suma,-Ofast,stack_protector,0,1,0.055581,0.051529,0.003963,6804,0,,1,1783529805
clang++,suma,-Ofast,stack_protector_strong,0,1,0.055564,0.055486,0.0,6888,0,,1,1783529806
clang++,suma,-Ofast,stack_protector_all,0,1,0.055397,0.05136,0.00395,6880,0,,1,1783529806
clang++,suma,-Ofast,no_plt,0,1,0.045867,0.045771,0.0,6904,0,,1,1783529806
clang++,suma,-Ofast,asan,0,1,0.147432,0.139227,0.008019,16248,0,,1,1783529806
