compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
g++,startup,-O1,pie,50,0.528,0.526,0.530,1362,1340,1378,0.9981,0.9943,1.0038
g++,startup,-O1,relro_full,50,0.527,0.526,0.529,1376,1356,1380,0.9962,0.9925,1.0019
g++,startup,-O1,stack_protector,50,0.529,0.525,0.530,1376,1352,1392,1.0000,0.9934,1.0048
g++,startup,-O1,stack_protector_all,50,0.529,0.528,0.532,1372,1348,1380,1.0000,0.9972,1.0076
g++,startup,-O1,stack_protector_strong,50,0.529,0.528,0.531,1372,1348,1376,1.0000,0.9972,1.0057
g++,startup,-O1,ubsan,50,1.391,1.383,1.397,3728,3708,3762,2.6304,2.6139,2.6465
g++,startup,-O2,asan,50,14.570,14.312,14.923,7664,7610,9628,27.4388,26.9267,28.1301
g++,startup,-O2,baseline,50,0.531,0.529,0.532,1372,1366,1380,,,
g++,startup,-O2,execstack,50,0.528,0.527,0.530,1372,1358,1382,0.9944,0.9906,0.9981
g++,startup,-O2,fortify1,50,0.528,0.528,0.530,1376,1360,1388,0.9953,0.9916,0.9981
g++,startup,-O2,fortify2,50,0.530,0.528,0.531,1372,1344,1378,0.9981,0.9944,1.0009
g++,startup,-O2,fortify_off,50,0.529,0.527,0.530,1374,1352,1388,0.9962,0.9915,1.0000
g++,startup,-O2,hardening_baseline,50,0.528,0.526,0.532,1366,1340,1376,0.9953,0.9887,1.0019
g++,startup,-O2,no_pie,50,0.522,0.519,0.524,1326,1304,1372,0.9831,0.9765,0.9878
g++,startup,-O2,no_plt,50,0.529,0.528,0.532,1384,1370,1392,0.9962,0.9925,1.0009
g++,startup,-O2,no_stack_protector,50,0.528,0.527,0.532,1376,1344,1384,0.9944,0.9906,1.0019
g++,startup,-O2,noexecstack,50,0.528,0.526,0.530,1368,1350,1380,0.9944,0.9897,0.9981
g++,startup,-O2,pie,50,0.530,0.528,0.532,1352,1340,1376,0.9981,0.9925,1.0019
g++,startup,-O2,relro_full,50,0.528,0.527,0.530,1376,1352,1386,0.9953,0.9906,0.9991
g++,startup,-O2,stack_protector,50,0.528,0.526,0.530,1350,1346,1376,0.9934,0.9897,0.9981
g++,startup,-O2,stack_protector_all,50,0.528,0.526,0.531,1372,1340,1382,0.9934,0.9887,1.0000
g++,startup,-O2,stack_protector_strong,50,0.529,0.527,0.531,1368,1348,1376,0.9962,0.9915,1.0009
g++,startup,-O2,ubsan,50,1.382,1.370,1.394,3718,3704,3736,2.6026,2.5780,2.6252
g++,startup,-O3,asan,50,14.719,14.234,15.063,7654,7616,8588,27.9298,26.9130,28.6676
g++,startup,-O3,baseline,50,0.527,0.526,0.531,1358,1348,1374,,,
g++,startup,-O3,execstack,50,0.529,0.527,0.531,1376,1348,1388,1.0038,0.9953,1.0076
